PlayerName,ESPNID
triston-mckenzie,34954
zach-mckinstry,38420
jeff-mcneil,33900
mj-melendez,40948
whit-merrifield,32422
julian-merryweather,39816
miles-mikolas,32116
wade-miley,31094
shelby-miller,30738
jose-miranda,41000
casey-mize,41167
yoan-moncada,33984
mickey-moniak,36181
frankie-montas,33249
rafael-montero,32631
dylan-moore,40593
matt-moore,31099
adrian-morejon,40917
charlie-morton,29155
ryan-mountcastle,34940
kyle-muller,41041
cedric-mullins,35578
max-muncy,33303
sean-murphy,33557
tom-murphy,33225
joe-musgrove,34848
andres-munoz,40939
omar-narvaez,34254
josh-naylor,35066
hector-neris,32377
kevin-newman,35022
brandon-nimmo,32159
aaron-nola,33709
ryan-o'hearn,35183
tyler-o'neill,34168
bailey-ober,3107919
shohei-ohtani,39832
shohei-ohtani,39832
steven-okert,33716
matt-olson,32767
adam-ottavino,29705
marcell-ozuna,31668
cristian-pache,39897
chris-paddack,35999
emilio-pagan,33403
isaac-paredes,39706
wes-parsons,33284
james-paxton,31980
nate-pearson,39646
joc-pederson,31392
freddy-peralta,39825
wandy-peralta,36036
salvador-perez,31127
jace-peterson,32323
jeremy-pena,41273
kevin-pillar,32859
nick-pivetta,36071
colin-poche,40364
jorge-polanco,32525
cody-poteet,4728692
ryan-pressly,33072
jurickson-profar,31117
austin-pruitt,36061
cionel-perez,36089
martin-perez,31098
cal-quantrill,39875
jose-quintana,32106
tanner-rainey,38582
nick-ramirez,32140
harold-ramirez,33259
jose-ramirez,32801
jose-ramirez,32603
colin-rea,33950
anthony-rendon,32098
hunter-renfroe,33205
luis-rengifo,37237
pablo-reyes,35439
bryan-reynolds,38980
trevor-richards,39912
austin-riley,34982
anthony-rizzo,30782
david-robertson,29172
victor-robles,35042
brendan-rodgers,35073
grayson-rodriguez,41196
julio-rodriguez,41044
carlos-rodon,33696
jake-rogers,39900
taylor-rogers,33671
tyler-rogers,34026
josh-rojas,40718
miguel-rojas,30791
brent-rooker,40926
eddie-rosario,31944
amed-rosario,33215
joe-ross,32684
keibert-ruiz,38827
adley-rutschman,42178
joe-ryan,42450
chris-sale,30948
patrick-sandoval,40975
carlos-santana,30280
dennis-santana,39801
anthony-santander,36084
miguel-sano,31260
kyle-schwarber,33712
tanner-scott,35135
corey-seager,32691
marcus-semien,32146
nick-senzel,36180
luis-severino,33263
bryan-shaw,30589
lucas-sims,32807
brady-singer,41172
jon-singleton,31206
jose-siri,33954
austin-slater,35265
burch-smith,33083
will-smith,31549
will-smith,38309
will-smith,31549
will-smith,38309
drew-smyly,31816
blake-snell,33748
jorge-soler,32558
edmundo-sosa,33809
gregory-soto,39804
juan-soto,36969
george-springer,32078
jacob-stallings,34089
ryne-stanek,33301
giancarlo-stanton,30583
tyler-stephenson,34975
brock-stewart,35997
dj-stewart,34942
trevor-story,32150
matt-strahm,34862
chris-stratton,32787
hunter-strickland,32589
ross-stripling,32789
marcus-stroman,32815
garrett-stubbs,35760
jose-suarez,40981
wander-suero,34936
brent-suter,36023
eugenio-suarez,32367
ranger-suarez,39817
erik-swanson,36013
dansby-swanson,34895
gary-sanchez,31095
jesus-sanchez,39957
sixto-sanchez,36186
dillon-tate,34950
fernando-tatis-jr,35983
mike-tauchman,33956
leody-taveras,34951
chris-taylor,32900
julio-teheran,31091
rowdy-tellez,34287
matt-thaiss,36176
caleb-thielbar,32440
alek-thomas,41215
lane-thomas,36409
ryan-thompson,38628
trent-thornton,36728
abraham-toro,40754
gleyber-torres,33804
taylor-trammell,37773
jose-trevino,35268
chadwick-tromp,35358
mike-trout,30836
kyle-tucker,34967
spencer-turnbull,33732
justin-turner,29607
trea-turner,33710
jose-urena,33107
gio-urshela,32721
luis-urias,35383
framber-valdez,36581
ildemaro-vargas,32985
daulton-varsho,40963
alex-verdugo,33786
thyago-vieira,36048
matt-vierling,41636
daniel-vogelbach,32851
austin-voth,35044
christian-vazquez,31389
michael-wacha,32640
lamonte-wade-jr,37798
tyler-wade,33878
jacob-waguespack,37726
christian-walker,32758
forrest-wall,33726
jared-walsh,35673
taylor-ward,34923
ryan-weathers,41178
luke-weaver,33770
jacob-webb,40384
logan-webb,41216
joey-wendle,33017
zack-wheeler,31267
forrest-whitley,40915
garrett-whitlock,39674
trevor-williams,33305
bryse-wilson,40922
justin-wilson,31026
jesse-winker,32833
alex-wood,32620
ryan-yarbrough,33735
mike-yastrzemski,33341
kirby-yates,32623
christian-yelich,31283
