0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
4.5,4.2,101.3,5.7,.146,.237,42.5,.048,0.49,277,303,0.9,,,,,,
7.7,7.9,130.8,7.7,.194,.319,26.7,.084,0.86,252,328,0.8,,,,,,
8.3,8.1,127.0,8.2,.202,.344,24.6,.088,0.69,247,264,0.9,,,,,,
5.2,5.0,91.5,6.3,.135,.262,41.1,.092,0.70,222,237,0.9,,,,,,
3.7,3.8,88.8,6.3,.252,.336,16.1,.075,0.50,214,208,1.0,,,,,,
-0.4,-0.2,17.2,2.9,.125,.208,38.4,.081,0.44,78,75,1.0,,,,,,
4.4,4.7,103.1,6.1,.211,.324,19.4,.097,0.73,212,305,0.7,,,,,,
5.1,6.8,108.2,7.6,.233,.391,18.8,.109,0.76,181,260,0.7,,,,,,
2.8,4.1,73.0,7.6,.211,.367,21.2,.107,0.62,143,147,1.0,,,,,,
1.3,1.5,21.9,9.2,.245,.372,18.8,.095,0.63,31,47,0.7,,,,,,
--,--,1147.1,6.2,.164,.279,31.6,.075,0.61,2818,3085,0.9,,,,,,
,,,,,,,,,,,,,,,,,
Texas,12,11,.522,-,W1,,,,,,,,,,,,
Seattle,11,11,.500,0.5,W1,,,,,,,,,,,,
Oakland,9,14,.391,3,W1,,,,,,,,,,,,
Los Angeles,9,14,.391,3,L5,,,,,,,,,,,,
Houston,7,16,.304,5,L2,,,,,,,,,,,,
