PlayerName
Max Schuemann
Kyle Schwarber
Tanner Scott
Tayler Scott
Victor Scott II
Corey Seager
JP Sears
Marcus Semien
Nick Senzel
Brian Serven
Luis Severino
Bryan Shaw
Gavin Sheets
Austin Shenton
Braden Shewmake
Zack Short
Jared Shuster
Michael Siani
Chase Silseth
Lucas Sims
Brady Singer
Jon Singleton
Jose Siri
Tarik Skubal
Justin Slaten
Austin Slater
Drew Smith
Burch Smith
Cade Smith
Josh Smith
Kevin Smith
Will Smith
Will Smith
Drew Smyly
Blake Snell
Collin Snider
Jorge Soler
George Soriano
José Soriano
Michael Soroka
Edmundo Sosa
Lenyn Sosa
Gregory Soto
Juan Soto
Gabe Speier
Mitch Spence
Carson Spiers
George Springer
Jacob Stallings
Ryne Stanek
Giancarlo Stanton
Justin Steele
Spencer Steer
Tyler Stephenson
Brock Stewart
DJ Stewart
Gavin Stone
Trevor Story
Bryson Stott
Matt Strahm
Chris Stratton
Hunter Stratton
Hunter Strickland
Spencer Strider
Ross Stripling
Marcus Stroman
Peter Strzelecki
Garrett Stubbs
José Suarez
Robert Suarez
Wander Suero
Brett Sullivan
Cole Sulser
Brent Suter
Jack Suwinski
Seiya Suzuki
Eugenio Suarez
Ranger Suarez
Erik Swanson
Dansby Swanson
Cristopher Sanchez
Gary Sanchez
Jesús Sanchez
Sixto Sanchez
Dillon Tate
Fernando Tatis Jr
Mike Tauchman
Leody Taveras
Chris Taylor
Michael A. Taylor
Samad Taylor
Tyrone Taylor
Julio Teheran
Rowdy Tellez
Kai-Wei Teng
Matt Thaiss
Caleb Thielbar
Alek Thomas
Lane Thomas
Keegan Thompson
Bubba Thompson
Ryan Thompson
Zack Thompson
Trent Thornton
Michael Toglia
Michael Tonkin
Spencer Torkelson
Abraham Toro
Gleyber Torres
Ezequiel Tovar
Taylor Trammell
Alan Trejo
Jose Trevino
Jared Triolo
Chadwick Tromp
Mike Trout
Kyle Tucker
Brice Turang
Spencer Turnbull
Justin Turner
Trea Turner
José Ureña
Abner Uribe
Gio Urshela
Luis Urías
Ramón Urías
Enmanuel Valdez
Framber Valdez
Ricky Vanasco
Ildemaro Vargas
Gus Varland
Louie Varland
Daulton Varsho
Andrew Vaughn
Nelson Velazquez
Alex Verdugo
Alex Vesia
Will Vest
Thyago Vieira
Matt Vierling
Darius Vines
Victor Vodnik
Daniel Vogelbach
Anthony Volpe
Austin Voth
Christian Vazquez
Michael Wacha
LaMonte Wade Jr
Tyler Wade
Jacob Waguespack
Matt Waldron
Christian Walker
Jordan Walker
Ryan Walker
Forrest Wall
Matt Wallner
Jared Walsh
Taylor Ward
Ryan Weathers
Luke Weaver
Jacob Webb
Logan Webb
Jordan Weems
Greg Weissert
Austin Wells
Tyler Wells
Joey Wendle
Davis Wendzel
Joey Wentz
Jordan Westburg
Zack Wheeler
Mitch White
Forrest Whitley
Garrett Whitlock
Jordan Wicks
Joey Wiemer
Alika Williams
Trevor Williams
Bryse Wilson
Justin Wilson
Steven Wilson
Allan Winans
Josh Winckowski
Jesse Winker
Cole Winn
Keaton Winn
Masyn Winn
Bobby Witt Jr
Connor Wong
Alex Wood
Simeon Woods Richardson
Yoshinobu Yamamoto
Ryan Yarbrough
Mike Yastrzemski
Kirby Yates
Christian Yelich
Masataka Yoshida
Jacob Young
Seby Zavala
Angel Zerpa
Guillermo Zuñiga
